Genes,Cytoband,Spearman's Correlation,p-Value,q-Value
CPQ,8q22.1,0.126687658,0.141640076,0.237525059
FCRL5,1q23.1,0.126633025,0.141813282,0.237795341
CTSL,9q21.33,0.126620867,0.14185185,0.237839832
GABRA1,5q34,-0.126607159,0.141895344,0.237883676
OR52M1,11p15.4,-0.126605039,0.141902072,0.237883676
TLR3,4q35.1,-0.126587472,0.141957826,0.237956957
PCDHB5,5q31.3,-0.126582701,0.141972971,0.23796216
GBP1P1,1p22.2,0.126554077,0.142063863,0.238094313
LINC00634,22q13.2,-0.126549306,0.142079017,0.238099517
SCARNA9L,Xp22.12,-0.126534231,0.142126906,0.238159576
A4GALT,22q13.2,-0.12651114,0.142200285,0.238254035
SOWAHD,Xq24,-0.126508905,0.142207387,0.238254035
RCN1,11p13,0.126472974,0.142321632,0.238425228
PTGFR,1p31.1,-0.126438482,0.142431364,0.238588833
LRATD2,8q24.21,-0.126430037,0.142458242,0.238613631
SLC30A9,4p13,0.126425266,0.142473427,0.238618842
P4HA2,5q31.1,-0.126420495,0.142488613,0.238624054
SLC25A12,2q31.1,0.1263871,0.142594951,0.238781903
WDR72,15q21.3,0.126351346,0.142708864,0.23894504
GFPT2,5q35.3,-0.126348934,0.142716554,0.23894504
DEPTOR,8q24.12,-0.126334621,0.142762175,0.239001174
KRTAP5-7,11q13.4,-0.126287249,0.142913257,0.239233838
IDI2,10p15.3,-0.126272601,0.142959995,0.239291809
BRDT,1p22.1,-0.126245974,0.143044991,0.239413801
RRAGA,9p22.1,0.126210582,0.143158023,0.239582692
LINC00488,3q13.13,0.126204051,0.143178889,0.239597323
DOLK,9q34.11,0.126153332,0.143341003,0.239827992
DHRS9,2q31.1,-0.126153332,0.143341003,0.239827992
VLDLR-AS1,9p24.2,-0.12613902,0.143386776,0.239884267
KIAA1841,2p15,0.126100854,0.143508891,0.240068241
BRI3BP,12q24.31,0.126081771,0.143569977,0.240150103
ADAMTSL1,9p22.2-p22.1,-0.126067459,0.143615806,0.240164793
ABLIM2,4p16.1,-0.126062688,0.143631084,0.240164793
OR10AG1,11q12.1,-0.126056259,0.143651673,0.240164793
OR8A1,11q24.2,-0.126056259,0.143651673,0.240164793
OR6K2,1q23.1,-0.126056259,0.143651673,0.240164793
LCE1A,1q21.3,-0.126056259,0.143651673,0.240164793
DDX55,12q24.31,0.125933877,0.14404407,0.240800452
WASF3,13q12.13,-0.125876628,0.144227908,0.241061377
CATSPERE,1q44,-0.125872458,0.144241306,0.241061377
S100A3,1q21.3,0.125871857,0.144243235,0.241061377
TCERG1L,10q26.3,-0.125870081,0.144248942,0.241061377
MAPK11,22q13.33,-0.125857545,0.144289226,0.24110831
FAM238B,10p12.1,-0.125847121,0.14432273,0.241143905
SRPX2,Xq22.1,0.125819379,0.144411923,0.241272537
SIX1,14q23.1,-0.125814608,0.144427266,0.241277773
CLDN20,6q25.3,-0.125806567,0.144453128,0.241300581
CDRT4,17p12,-0.125757359,0.144611474,0.241544672
GLYATL1,11q12.1,-0.125740084,0.144667094,0.241617153
AADACL2,3q25.1,-0.125731161,0.144695828,0.241644723
PLAC8L1,5q32,-0.125702215,0.144789075,0.241735317
TRIM49,11p11.12-q12,-0.125700257,0.144795385,0.241735317
STAG3L3,7q11.23,-0.12570011,0.14479586,0.241735317
SPATA41,15q26.3,-0.125697874,0.144803064,0.241735317
PDGFD,11q22.3,0.125695339,0.144811234,0.241735317
GOLGA8G,15q13.1,-0.125678184,0.144866524,0.241807189
FGF2,4q28.1,-0.125666714,0.144903501,0.241848484
PPP1R3F,Xp11.23,-0.125652402,0.144949652,0.241884655
CYSLTR1,Xq21.1,-0.125652402,0.144949652,0.241884655
KRT40,17q21.2,0.12562392,0.145041526,0.242017535
HAGHL,16p13.3,0.125619007,0.145057379,0.242023553
CELA1,12q13.13,0.125547084,0.145289595,0.242390534
B4GALT6,18q12.1,-0.125528362,0.145350088,0.242470987
PADI1,1p36.13,-0.125497999,0.145448236,0.242614238
ZNF491,19p13.2,0.125475884,0.145519755,0.242697823
CSNK1A1L,13q13.3,0.125474106,0.145525505,0.242697823
PTCHD3P1,10p11.23,-0.125471113,0.145535187,0.242697823
ZNF271P,18q12.2,0.125404322,0.145751361,0.243037812
TPBG,6q14.1,-0.125380468,0.145828625,0.243108252
FRMPD1,9p13.2,-0.125380468,0.145828625,0.243108252
MEX3D,19p13.3,-0.125375698,0.145844082,0.243108252
HERPUD1,16q13,0.125375698,0.145844082,0.243108252
EFCAB8,20q11.21,-0.125372294,0.14585511,0.243108252
FIG4,6q21,-0.125299365,0.146091555,0.243481818
SLC5A5,19p13.11,-0.12528167,0.146148971,0.243543936
PPM1N,19q13.32,0.125280282,0.146153472,0.243543936
TAF2,8q24.12,-0.125270741,0.146184439,0.243574999
LRRIQ4,3q26.2,0.125259015,0.146222501,0.243611332
DENND10P1,Xq26.1,-0.125256429,0.146230898,0.243611332
SDC2,8q22.1,0.125237346,0.14629286,0.243694015
FPR3,19q13.41,-0.125213492,0.146370341,0.243802533
LRRN4CL,11q12.3,0.125184867,0.14646336,0.24393691
ACHE,7q22.1,-0.125175326,0.146494376,0.243968008
PPFIBP1,12p11.23-p11.22,-0.12514193,0.146602971,0.244128287
FCN1,9q34.3,-0.125130603,0.146639819,0.244169075
RPL10L,14q21.2,-0.125116106,0.146686988,0.244227039
PMVK,1q21.3,0.125098993,0.146742683,0.244299186
UBL4B,1p13.3,-0.125094223,0.146758213,0.24430446
MAGEB1,Xp21.2,-0.125083758,0.146792281,0.244330849
TNNI1,1q32.1,0.125077352,0.146813139,0.244330849
DUXA,19q13.43,0.125072525,0.146828858,0.244330849
B3GNT4,12q24.31,-0.125070965,0.146833937,0.244330849
PCDHB14,5q31.3,-0.125070369,0.14683588,0.244330849
PDE6B,4p16.3,0.125060827,0.146866956,0.244346697
IRX6,16q12.2,-0.125059393,0.146871627,0.244346697
SPPL3,12q24.31,-0.125056056,0.146882495,0.244346697
LEKR1,3q25.31,0.125027432,0.14697576,0.244481267
ANKRD22,10q23.31,0.12501789,0.147006858,0.244512416
NLRC4,2p22.3,-0.124965412,0.147177986,0.244776448
OGN,9q22.31,-0.124917704,0.147333688,0.244994167
CHTF18,16p13.3,-0.124917704,0.147333688,0.244994167
TSLP,5q22.1,0.124908312,0.147364356,0.245024548
TNFAIP8L2,1q21.3,0.12489385,0.147411585,0.24507912
SNORA11,Xp11.21,0.124890668,0.147421979,0.24507912
ANAPC1P2,2p11.2,0.124865226,0.147505103,0.245196683
CAMK2A,5q32,-0.124793664,0.147739095,0.24556499
PLCH1,3q25.31,-0.124784123,0.147770315,0.245596227
GALM,2p22.1,0.124760269,0.147848387,0.245684661
DBNDD1,16q24.3,-0.124760269,0.147848387,0.245684661
LRRC2,3p21.31,-0.124722103,0.147973367,0.245871671
C2ORF50,2p25.1,0.124660232,0.148176142,0.246187902
PEX1,7q21.2,0.124655312,0.148192274,0.246194007
SLC47A1,17p11.2,0.124607605,0.148348786,0.246433307
MLLT10,10p12.31,-0.124598063,0.148380103,0.246433925
AKAP7,6q23.2,0.124598063,0.148380103,0.246433925
RIPK4,21q22.3,-0.124596094,0.148386566,0.246433925
TMPRSS2,21q22.3,-0.124558675,0.148509435,0.246617257
CIB3,19p13.11,0.12455484,0.148522032,0.246617453
LINC01140,1p22.3,0.124536043,0.148583787,0.246699268
DNAJC25,9q31.3,0.124531272,0.148599464,0.24670457
TMEM35A,Xq22.1,-0.124521731,0.148630821,0.246735903
SPDYE8,7q11.23,-0.124488335,0.148740611,0.246897421
RNASE8,14q11.2,-0.124481498,0.148763099,0.24691401
LRRC71,1q23.1,-0.12446366,0.148821771,0.246990651
TCF7L1,2p11.2,-0.124459711,0.148834765,0.246991474
AGBL5,2p23.3,0.124450169,0.14886616,0.247022831
CBLL2,Xp22.11,-0.124429423,0.148934441,0.247115386
SLC16A4,1p13.3,0.124412003,0.148991789,0.247189786
CIDEA,18p11.21,-0.1243938,0.149051736,0.247268484
SYCE1L,16q23.1,0.124355175,0.149178997,0.247458831
HAVCR1P1,19p12,-0.124326129,0.149274747,0.24759688
ZEB1-AS1,10p11.22,-0.124297505,0.149369156,0.247732682
SLC6A5,11p15.1,-0.124281745,0.149421156,0.247798129
LINC00313,21q22.3,-0.124192048,0.14971736,0.248268517
RET,10q11.21,-0.12414484,0.149873434,0.248506475
OGT,Xq13.1,-0.124116216,0.149968128,0.248642628
KLHL10,17q21.2,0.124105503,0.15000358,0.248666938
TULP1,6p21.31,0.124104181,0.150007956,0.248666938
SPHK1,17q25.1,-0.124097133,0.150031283,0.248674666
GOLGA8F,15q13.1,-0.124095169,0.150037784,0.248674666
TMEM236,10p12.33,-0.124088183,0.150060909,0.248692137
PRKD2,19q13.32,-0.12407805,0.150094458,0.248726881
MAGI2,7q21.11,-0.124058967,0.150157653,0.248810741
ADAMDEC1,8p21.2,0.124044654,0.150205063,0.248868432
HSP90AA1,14q32.31,0.12401603,0.150299916,0.248989167
C11ORF21,11p15.5,-0.124011407,0.150315239,0.248989167
PNCK,Xq28,-0.124011259,0.150315729,0.248989167
PCDH9,13q21.32,-0.123982634,0.150410634,0.249125492
MRPL19,2p12,0.12393746,0.150560503,0.249352822
GABRA2,4p12,-0.123932689,0.150576337,0.249358149
SCGB1C1,11p15.5,-0.12391311,0.150641332,0.24944488
RGS19,20q13.33,0.123887219,0.150727312,0.249545436
TBC1D1,4p14,-0.123887219,0.150727312,0.249545436
FAM209A,20q13.31,-0.123868342,0.150790022,0.249610544
SNORD67,11p11.2,0.123863977,0.150804529,0.249610544
OR5A2,11q12.1,0.123863977,0.150804529,0.249610544
PPP2CB,8p12,0.123849053,0.150854124,0.249671723
LINC00523,14q32.2,-0.123813427,0.150972568,0.249846831
DCUN1D1,3q26.33,0.123801345,0.151012751,0.249892406
OR1E1,17p13.3,-0.123781059,0.15108024,0.249983153
CLDN16,3q28,-0.123774907,0.151100714,0.249996099
SOX8,16p13.3,-0.123763179,0.151139744,0.250039742
WDR64,1q43,0.123741927,0.151210493,0.250135847
NXF2B,Xq22.1,-0.123723484,0.151271908,0.250216498
E2F1,20q11.22,0.123715472,0.151298598,0.250239701
SNX10,7p15.2,0.123696389,0.151362174,0.250323904
RGS8,1q25.3,-0.123665415,0.15146541,0.250466066
TCFL5,20q13.33,0.123662993,0.151473482,0.250466066
SLC25A13,7q21.3,0.123648681,0.151521204,0.250524016
GMFB,14q22.2,0.123629598,0.151584851,0.250608283
LGI4,19q13.12,-0.123624827,0.151600766,0.25061363
MT1X,16q13,0.123620056,0.151616683,0.250618978
NCAPH2,22q13.33,0.123610515,0.151648519,0.250650638
DMRT3,9p24.3,-0.123590046,0.151716833,0.25074258
SPATC1L,21q22.3,0.123572349,0.151775914,0.250819248
PAPOLG,2p16.1,0.123500787,0.152014997,0.251193343
NAT1,8p22,0.123467392,0.152126666,0.251356851
ZP1,11q12.2,0.123372155,0.152445462,0.251862537
TDRD3,13q21.2,0.123348123,0.152525987,0.251974512
RCOR2,11q13.1,-0.123343352,0.152541977,0.251979863
ZNF791,19p13.13,-0.123305186,0.152669936,0.252170158
UCN3,10p15.1,-0.123282893,0.152744714,0.252265511
CCN5,20q13.12,-0.123279094,0.152757462,0.252265511
CARD6,5p13.1,-0.123276561,0.152765959,0.252265511
JPH1,8q21.11,-0.12326702,0.152797976,0.252297302
ARHGAP5-AS1,14q12,-0.123257478,0.152829999,0.252329095
CCBE1,18q21.32,-0.123241001,0.15288531,0.25239933
C11ORF45,11q24.3,-0.123209771,0.152990188,0.252530284
NES,1q23.1,-0.123209771,0.152990188,0.252530284
TBXA2R,19p13.3,-0.123200229,0.153022241,0.252562097
CD302,2q24.2,0.123190687,0.153054299,0.252593913
LINC00922,16q21,-0.123142973,0.153214689,0.2528375
SERGEF,11p15.1,0.123128668,0.153262799,0.252895776
CDK17,12q23.1,-0.123114355,0.153310945,0.2529541
NAV2-AS6,11p15.1,-0.123071418,0.153455451,0.253171389
CCDC68,18q21.2,-0.123028481,0.153600059,0.253373028
PGRMC2,4q28.2,0.123023711,0.153616133,0.253373028
INKA1,3p21.31,0.123023711,0.153616133,0.253373028
KIZ,20p11.23,0.123004628,0.153680441,0.253457944
MAPK15,8q24.3,-0.122997794,0.153703473,0.253468682
INVS,9q31.1,-0.122995086,0.153712602,0.253468682
ANXA7,10q22.2,0.122985545,0.153744769,0.253500573
SDCBP,8q12.1,0.122980774,0.153760854,0.253505945
RHBDL2,1p34.3,-0.122961691,0.153825208,0.253559746
WDHD1,14q22.2-q22.3,0.122961691,0.153825208,0.253559746
B3GNTL1,17q25.3,0.12295692,0.153841299,0.253559746
TRIM37,17q22,-0.122952149,0.153857392,0.253559746
AHSP,16p11.2,0.122952077,0.153857637,0.253559746
CLEC19A,16p12.3,-0.122936924,0.15390876,0.253622848
IFI6,1p35.3,0.122933066,0.153921776,0.25362315
USP5,12p13,0.122923525,0.153953976,0.253655058
SPATA6L,9p24.2-p24.1,0.122913983,0.153986181,0.253665824
ZNF350,19q13.41,0.122913983,0.153986181,0.253665824
LINC00926,15q21.3,-0.122899671,0.154034497,0.253724268
ADAMTS5,21q21.3,-0.122890129,0.154066714,0.253734808
PRMT2,21q22.3,0.122890129,0.154066714,0.253734808
HDGFL1,6p22.3,-0.122886369,0.154079413,0.253734808
ACOT6,14q24.3,0.122858199,0.154174564,0.253862739
ZNF557,19p13.2,0.122851963,0.154195634,0.253862739
TLR4,9q33.1,-0.122851963,0.154195634,0.253862739
C16ORF54,16p11.2,-0.122837651,0.154244,0.253921214
CCDC190,1q23.3,0.122774166,0.154458673,0.254253436
TMEM170A,16q23.1,0.122766089,0.154486,0.254277241
CXCR4,2q22.1,0.122751777,0.154534435,0.254335779
LCN10,9q34.3,-0.122717599,0.154650142,0.254505017
IRX1,5p15.33,-0.12266142,0.154840475,0.254797028
STYK1,12p13.2,-0.122627872,0.154954219,0.25496297
DDO,6q21,0.122613425,0.155003221,0.255022365
P2RX4,12q24.31,0.122589571,0.155084154,0.255134282
ATP6V1G2,6p21.33,-0.122513239,0.155343353,0.255539427
GAGE4,Xp11.4-p11.2,0.122505925,0.155368205,0.255559038
SCAF11,12q12,-0.122427365,0.15563534,0.255977132
SNORA26,4q12,0.122407928,0.155701486,0.256064614
RIPK3,14q12,-0.122398741,0.15573276,0.256094737
ZNF843,16p11.2,-0.122384428,0.155781488,0.256153552
SOCS6,18q22.2,-0.122365345,0.155846475,0.256239093
RCBTB2,13q14.2,0.12233195,0.155960253,0.256383503
LDLRAD3,11p13,-0.12233195,0.155960253,0.256383503
PLAT,8p11.21,0.122322408,0.155992772,0.256415633
SERTM1,13q13.3,-0.12230531,0.156051059,0.256476187
H3C12,6p22.1,0.122303988,0.156055566,0.256476187
CDAN1,15q15.2,-0.122279471,0.156139172,0.256592254
ZNF331,19q13.42,-0.122265159,0.156187995,0.256629809
KPNA3,13q14.2,0.122265159,0.156187995,0.256629809
PRSS57,19p13.3,-0.122238649,0.156278459,0.256757102
SLC31A2,9q32,-0.122231764,0.156301959,0.256774365
HSPA9,5q31.2,0.122179285,0.156481172,0.257047411
RCN3,19q13.33,-0.122174515,0.156497472,0.25705282
SULT1B1,4q13.3,0.122170266,0.156511987,0.257055297
DLC1,8p22,-0.122150661,0.156578989,0.257143972
SPINK6,5q32,0.122132776,0.156640129,0.257223005
ERMARD,6q27,0.122112495,0.156709484,0.257315514
LMAN1L,15q24.1,-0.122107834,0.156725423,0.257320308
MTF2,1p22.1,0.122088641,0.156791084,0.257406728
FAM86C1P,11q13.4,0.122050475,0.156921711,0.257556995
ZNF184,6p22.1,0.122050475,0.156921711,0.257556995
TSPAN5,4q23,-0.122050475,0.156921711,0.257556995
LINGO4,1q21.3,-0.122046245,0.156936194,0.257559375
GGTA1,9q33.2,-0.122040933,0.156954381,0.257567834
BBC3,19q13.32,0.122017079,0.157036077,0.257680503
FST,5q11.2,-0.122002767,0.157085109,0.257739562
PEX10,1p36.32,0.121978913,0.157166856,0.257852282
LARS1,5q32,0.12195983,0.157232277,0.2579382
MMP27,11q22.2,0.121938125,0.157306711,0.258038888
BRD8,5q31.2,0.121902581,0.157428661,0.258217498
ATAT1,6p21.33,-0.121850103,0.157608841,0.258491579
APOC3,11q23.3,-0.121828515,0.157683005,0.258591755
ANGPTL7,1p36.22,-0.121809519,0.157748288,0.25867735
PCTP,17q22,0.121797624,0.157789176,0.258722931
ATP6AP1L,5q14.2,-0.121788083,0.157821981,0.258733787
RHOB,2p24.1,-0.121788083,0.157821981,0.258733787
CD8A,2p11.2,0.121778541,0.15785479,0.25876611
HELLS,10q23.33,0.121759458,0.157920425,0.258852233
NPFF,12q13.13,-0.121749917,0.157953251,0.258884565
DGKE,17q22,-0.121730833,0.158018916,0.258970714
PLIN5,19p13.3,-0.121702209,0.158117453,0.259110715
IST1,16q22.2,0.121673584,0.158216036,0.259250768
PAWR,12q21.2,-0.121668814,0.158232471,0.259256203
ASPA,17p13.2,-0.121664043,0.158248907,0.259261639
EPHX2,8p21.2-p21.1,0.121630647,0.158363996,0.259428685
HOTAIR,12q13.13,0.121588786,0.158508349,0.259633637
CTAGE11P,13q22.2,0.121584564,0.158522915,0.259633637
ME2,18q21.2,0.12158294,0.158528518,0.259633637
LRRC69,8q21.3,-0.121577623,0.158546863,0.259642165
FAM20A,17q24.2,-0.121568627,0.1585779,0.259671475
PHGR1,15q15.1,0.121558271,0.158613641,0.259708483
PHF1,6p21.32,-0.121549544,0.158643759,0.259720209
SLC26A8,6p21.31,-0.12154569,0.158657066,0.259720209
PDS5A,4p14,-0.121544774,0.158660228,0.259720209
ZNF358,19p13.2,-0.121540003,0.158676697,0.259725656
CLASP2,3p22.3,-0.121535232,0.158693168,0.259731104
PLEKHG1,6q25.1,-0.121454129,0.158973366,0.260168155
TMOD4,1q21.3,0.121439817,0.159022851,0.260227591
LMNB2,19p13.3,-0.121435046,0.159039349,0.26023304
ACP6,1q21.2,0.121392109,0.159187885,0.26044932
C21ORF91,21q21.1,-0.121382568,0.159220907,0.26044932
SLC13A4,7q33,-0.121377942,0.159236919,0.26044932
PLEK,2p14,-0.121377797,0.15923742,0.26044932
THSD7A,7p21.3,-0.121377797,0.15923742,0.26044932
S100PBP,1p35.1,0.121368255,0.15927045,0.260481786
OR2A9P,7q35,-0.121296694,0.159518337,0.26086561
MT2A,16q13,0.121287152,0.159551411,0.260898108
COL15A1,9q22.33,-0.121248986,0.159683756,0.261092915
PRSS16,6p22.1,0.121236282,0.159727826,0.261113556
PLP2,Xp11.23,0.121234674,0.159733406,0.261113556
POM121L8P,22q11.21,-0.121233922,0.159736016,0.261113556
MICALL2,7p22.3,-0.121172654,0.159948692,0.261422239
DDX4,5q11.2,-0.1211719,0.159951309,0.261422239
GRIK1-AS1,21q21.3,0.121163112,0.159981832,0.261450504
CPO,2q33.3,-0.121149734,0.160028306,0.261504829
ZNF540,19q13.13,-0.121144029,0.160048127,0.261515596
LENG9,19q13.42,-0.121115405,0.160147609,0.261656514
CEP120,5q23.2,-0.121096322,0.160213956,0.261743276
C6ORF58,6q22.33,0.121047605,0.160383424,0.26199821
SEC61A2,10p14,-0.121043843,0.160396516,0.26199821
CHRM3,1q43,-0.121000906,0.160545999,0.262220709
HLA-DRA,6p21.32,0.120996136,0.160562615,0.262226176
PNMA8A,19q13.32,-0.120991365,0.160579231,0.262231644
LECT2,5q31.1,-0.12096157,0.160683037,0.262379481
CDK8,13q12.13,0.120934116,0.160778735,0.262514056
KIAA1210,Xq24,-0.120891014,0.160929057,0.262737791
FBXO25,8p23.3,0.120886408,0.160945129,0.262742324
LINC00663,19p13.11,0.120857784,0.161045027,0.262883693
SMARCA1,Xq25-q26.1,-0.120810076,0.161211627,0.26313391
ALKBH5,17p11.2,-0.120800534,0.161244962,0.263166586
ITGA3,17q21.33,-0.120776681,0.161328323,0.263280896
DPEP1,16q24.3,0.120738514,0.161461768,0.263470687
CDIPTOSP,16p11.2,0.120731033,0.161487937,0.263470687
PTPRQ,12q21.31,-0.120729559,0.161493091,0.263470687
EFCAB5,17q11.2,-0.120728171,0.161497945,0.263470687
RERG,12p12.3,0.120705119,0.1615786,0.263580509
PCK1,20q13.31,-0.120697736,0.161604436,0.263600898
EIF3IP1,7q31.1,0.120691054,0.161627823,0.263617288
B4GALNT1,12q13.3,-0.120666953,0.161712199,0.263733139
SRP54,14q13.2,0.120643099,0.16179574,0.263847612
RASSF7,11p15.5,0.120619245,0.161879313,0.263962118
TRMT11,6q22.32,0.120609704,0.161912752,0.263994862
PTCD1,7q22.1,0.120600162,0.161946196,0.264027608
TBC1D3G,17q12,-0.120565858,0.162066475,0.264201909
KRTAP10-4,21q22.3,-0.120524103,0.162212971,0.264418916
LRRC8D,1p22.2,-0.120509518,0.162264167,0.264480555
CSRNP2,12q13.12,-0.120476122,0.162381431,0.264649862
GOLGA6A,15q24.1,-0.120441053,0.162504642,0.264828832
GP9,3q21.3,0.120429644,0.16254474,0.264857541
TMEM253,14q11.2,0.120428415,0.162549062,0.264857541
AFP,4q13.3,0.120399648,0.162650203,0.265000491
ITM2C,2q37.1,-0.120395019,0.16266648,0.265005164
VGLL3,3p12.1,-0.120390249,0.162683259,0.265010654
FAM167B,1p35.2,-0.120385478,0.16270004,0.265016145
TLK2,17q23.2,-0.120371165,0.162750389,0.265076309
ACTN3,11q13.2,-0.120354864,0.162807752,0.265147886
CRYBA4,22q12.1,0.120318291,0.162936498,0.265335696
SLC40A1,2q32.2,0.120309146,0.162968703,0.265344413
CLEC5A,7q34,0.120309146,0.162968703,0.265344413
GTSF1,12q13.13,0.120302481,0.162992175,0.265357477
PRDM9,5p14.2,0.120299243,0.163003581,0.265357477
DNAI7,12p12.1,0.120285292,0.163052728,0.265415622
CLEC12B,12p13.2,-0.120269082,0.163109846,0.265481347
SERPINF2,17p13.3,-0.120266209,0.163119972,0.265481347
MMP7,11q22.2,0.120261581,0.16313628,0.265486026
POLD4,11q13.2,0.120247126,0.163187236,0.265547084
ACSM3,16p12.3,-0.12023353,0.163235169,0.265603214
SIX3,2p21,-0.120207597,0.163326631,0.265730157
SNORA1,11q21,-0.120187687,0.163396876,0.26582256
TRMT44,4p16.1,-0.120180335,0.163422822,0.265842887
IL17B,5q32,0.120159309,0.163497037,0.265941723
ZNF419,19q13.43,0.12015171,0.163523866,0.265963473
ZNF860,3p24.1,0.120125951,0.163614834,0.266084094
TPRN,9q34.3,-0.120123086,0.163624956,0.266084094
LRTM1,3p14.3,-0.120083547,0.163764665,0.266289375
COCH,14q12,0.120070607,0.163810408,0.266341842
SNX1,15q22.31,-0.120065837,0.163827275,0.266347354
CBWD6,9p11.2,0.120037212,0.163928505,0.266490009
GOLM1,9q21.33,-0.120018129,0.163996017,0.266577832
RNF175,4q31.3,0.119984734,0.164114213,0.266748022
PSORS1C3,6p21.33,-0.119975556,0.164146706,0.266778893
ZNF649,19q13.41,0.11996565,0.164181783,0.26681396
GPNMB,7p15.3,-0.119894089,0.164435352,0.267178885
CCNYL4,10p11.1,0.119894034,0.164435546,0.267178885
SLFN14,17q12,-0.119890834,0.164446893,0.267178885
SLC9A9,3q24,-0.119884547,0.164469183,0.267193133
MAGEA6,Xq28,-0.119879128,0.164488402,0.267202391
RTL5,Xq13.1,-0.119875006,0.16450302,0.267204173
DNAJC21,5p13.2,-0.119827298,0.16467228,0.267457122
IFNL3,19q13.2,-0.119808266,0.164739839,0.267544863
HBEGF,5q31.3,-0.119784361,0.164824724,0.267660726
KLHDC1,14q21.3,0.119770049,0.164875563,0.267721284
SIGIRR,11p15.5,0.119731883,0.165011189,0.267919497
HBB,11p15.4,0.119722341,0.165045108,0.267952556
NFE2L3,7p15.2,0.119688946,0.165163867,0.268123337
TLE1,9q21.32,0.119679405,0.16519781,0.268156412
NDN,15q11.2,-0.119665092,0.165248734,0.268200551
DLK2,6p21.1,-0.119664134,0.165252143,0.268200551
CDKN1C,11p15.4,-0.119603072,0.165469539,0.268531327
STX19,3q11.2,0.119567706,0.165595548,0.268685826
LY6E-DT,8q24.3,0.119565477,0.165603495,0.268685826
TWIST1,7p21.1,0.119564906,0.165605528,0.268685826
RUNDC3A,17q21.31,-0.119555365,0.165639538,0.268718946
FSD1,19p13.3,-0.119536282,0.165707575,0.268807256
ZBP1,20q13.31,-0.119512428,0.165792649,0.268923188
SLC7A4,22q11.21,-0.119506098,0.165815231,0.268937744
CABP5,19q13.33,-0.119493122,0.165861528,0.268990758
IL1F10,2q14.1,-0.119479411,0.165910457,0.269006076
OR14J1,6p22.1,0.119479411,0.165910457,0.269006076
MS4A4A,11q12.2,0.119479032,0.165911808,0.269006076
ENTPD6,20p11.21,-0.11946472,0.165962895,0.269066834
CABLES2,20q13.33,-0.119450408,0.166013995,0.269105693
H2BC6,6p22.2,0.119450379,0.166014097,0.269105693
MAPRE3,2p23.3,-0.119412242,0.166150317,0.269275711
TMPRSS4,11q23.3,-0.119412015,0.166151126,0.269275711
LINC02909,12p12.1,-0.119409571,0.166159859,0.269275711
CLK3,15q24.1,-0.1194027,0.16618441,0.269293415
RTKN,2p13.1,-0.119364534,0.166320836,0.26949239
SHISA5,3p21.31,-0.119302514,0.166542706,0.269829766
SASH3,Xq26.1,-0.119292973,0.166576859,0.269862978
PRODH,22q11.21,-0.119288202,0.166593938,0.269868524
NDUFA10,2q37.3,0.11927389,0.166645181,0.269929409
ASPHD2,22q12.1,-0.119259577,0.166696437,0.269990303
